email,prenom,shop_name,shop_url,country,vertical,traffic_estimate,catalog_size,source,score,ad_signal,note_perso,status,last_touch,touch_count,next_touch,owner,notes
contact@cabaia.fr,Bastien,Cabaïa,https://www.cabaia.fr,FR,mode,0,200,manual,8,true,Vu ta section "Personnalise ton sac" — le configurateur couleur pompom est un angle produit fort pour une landing dediee par couleur,cold,,,, syphax,CA >20M€ 2023. Shopify confirmé mentions légales. Fondateur Bastien Valensi. 529 points de vente. Cible: CMO ou Head of Growth.
hello@wethenew.com,David,Wethenew,https://wethenew.com,FR,mode,0,500,manual,7,true,Vu ta page collection "Air Jordan 1 Retro High OG" — les fiches produit texte sont minimalistes vs le prix premium des sneakers,cold,,,, syphax,Fondateurs David Benhaim + Michael Holzmann. Sneakers/streetwear premium FR. Shopify. CA significatif. Email pattern: prenom@wethenew.com
contact@respire.co,Justine,Respire,https://respire.co,FR,beaute,0,50,manual,8,true,Vu ta page deodorant naturel — la section FAQ produit pourrait etre une landing standalone avec temoignages integres,cold,,,, syphax,Fondatrice Justine Hutteau. 2M+ produits vendus. 225k followers IG. Shopify confirmé. Cible fondatrice directe.
contact@anakiparis.com,Anaki,Anaki Paris,https://www.anakiparis.com,FR,mode,0,80,manual,7,true,Vu ta page "Nouvelles Collections" — les photos produit studio manquent de contexte lifestyle pour les mules d ete,cold,,,, syphax,Marque chaussures Paris DTC Shopify. Production Portugal. Vendu direct online uniquement. ICP fort.
hello@myjoliecandle.com,MyJolie,MyJolieCandle,https://www.myjoliecandle.com,FR,maison,0,60,manual,7,true,Vu ton bundle "Bougie + Bijou" — la page landing bundle n a pas de section temoignages clients visibles au scroll,cold,,,, syphax,Shopify confirmé (migration depuis PrestaShop). Levée de fonds 2018. Bougies + bijoux DTC. CA fort.
hello@shantybiscuits.com,Shanty,Shanty Biscuits,https://shantybiscuits.com,FR,maison,0,30,manual,6,true,Vu ta page personnalisation biscuits — le configurateur texte est unique mais la landing explique peu le delai de livraison,cold,,,, syphax,Shopify confirmé. Biscuits personnalisés B2C + B2B mariage/entreprise. Cible fondatrice.
hello@polene-paris.com,Antoine,Polène,https://www.polene-paris.com,FR,mode,0,40,manual,8,true,Vu ta page sac Numéro Un — les photos 360 sont excellentes mais il n y a pas de landing couleur dédiée par coloris,cold,,,, syphax,Fondateur Antoine Mothay. Maroquinerie parisienne premium DTC Shopify. Global. Margin élevée. Score 8.
hello@circlesportswear.com,Alexandre,Circle Sportswear,https://circlesportswear.com,FR,sport,0,60,manual,7,true,Vu ta page collection "Running" — la fiche technique tissus recyclés mériterait une landing storytelling matière dédiée,cold,,,, syphax,SAS Paris 75010. SIRET 87895900600015. Nouveau président Alexandre Auroux depuis fev 2025. Sport durable DTC Shopify.
hello@typology.com,Ning,Typology,https://www.typology.com,FR,beaute,0,100,manual,8,true,Vu ta page "Créer ta routine" — le configurateur ingrédients est innovant mais les landing par ingrédient actif manquent,cold,,,, syphax,Fondateur Ning Li. Levée 10M€. Saint-Ouen. Skincare made-in-France DTC. Shopify. Cible CEO direct.
hello@larosee.com,LaRosee,La Rosée,https://larosee.com,FR,beaute,0,40,manual,7,true,Vu ta page crème hydratante — la section "Ingrédients" est en bas de page alors que c est ton argument #1 de conversion,cold,,,, syphax,Skincare clean made-in-France. Shopify confirmé via Analyzify. Marché sensible pages produit. ICP fort beauté.
